fighter_1,fighter_2,date,location,referee,fighter_1_kd,fighter_2_kd,fighter_1_sig_str,fighter_2_sig_str,fighter_1_td,fighter_2_td,fighter_1_sub,fighter_2_sub,result,winner,weight_class,method,rounds,time
Sean McCorkle,Mark Hunt,"September 25, 2010","Indianapolis, Indiana, USA",Josh Rosenthal,0,0,0,2,0,1,2,0,win,Sean McCorkle,Heavyweight,SUB Straight Armbar,1,1:03
Nate Marquardt,Rousimar Palhares,"September 15, 2010","Austin, Texas, USA",Herb Dean,0,0,13,1,0,0,1,1,win,Nate Marquardt,Middleweight,KO/TKO Punches,1,3:28
Charles Oliveira,Efrain Escudero,"September 15, 2010","Austin, Texas, USA",Kerry Hatley,0,0,35,13,2,0,1,0,win,Charles Oliveira,Lightweight,SUB Rear Naked Choke,3,2:25
Jim Miller,Gleison Tibau,"September 15, 2010","Austin, Texas, USA",Jon Schorle,0,0,29,23,0,4,2,0,win,Jim Miller,Lightweight,U-DEC,3,5:00
Cole Miller,Ross Pearson,"September 15, 2010","Austin, Texas, USA",Herb Dean,1,0,24,26,1,0,1,0,win,Cole Miller,Lightweight,SUB Rear Naked Choke,2,1:49
Yves Edwards,John Gunderson,"September 15, 2010","Austin, Texas, USA",Kerry Hatley,0,0,54,15,1,0,1,2,win,Yves Edwards,Lightweight,U-DEC,3,5:00
Kyle Kingsbury,Jared Hamman,"September 15, 2010","Austin, Texas, USA",Jon Schorle,0,0,79,88,9,0,0,0,win,Kyle Kingsbury,Light Heavyweight,U-DEC,3,5:00
David Branch,Tomasz Drwal,"September 15, 2010","Austin, Texas, USA",Herb Dean,0,0,15,10,3,0,0,0,win,David Branch,Middleweight,U-DEC,3,5:00
Rich Attonito,Rafael Natal,"September 15, 2010","Austin, Texas, USA",Kerry Hatley,1,0,25,28,0,2,0,0,win,Rich Attonito,Middleweight,U-DEC,3,5:00
TJ Waldburger,David Mitchell,"September 15, 2010","Austin, Texas, USA",Jon Schorle,0,0,37,13,6,2,7,6,win,TJ Waldburger,Welterweight,U-DEC,3,5:00
Brian Foster,Forrest Petz,"September 15, 2010","Austin, Texas, USA",Herb Dean,1,0,17,1,0,0,0,0,win,Brian Foster,Welterweight,KO/TKO Punches,1,1:07
Frankie Edgar,BJ Penn,"August 28, 2010","Boston, Massachusetts, USA",Herb Dean,0,0,94,36,3,2,0,0,win,Frankie Edgar,Lightweight,U-DEC,5,5:00
Randy Couture,James Toney,"August 28, 2010","Boston, Massachusetts, USA",Mario Yamasaki,0,0,8,0,1,0,2,0,win,Randy Couture,Heavyweight,SUB Arm Triangle,1,3:19
Demian Maia,Mario Miranda,"August 28, 2010","Boston, Massachusetts, USA",Herb Dean,0,0,30,14,5,0,1,0,win,Demian Maia,Middleweight,U-DEC,3,5:00
Gray Maynard,Kenny Florian,"August 28, 2010","Boston, Massachusetts, USA",Mario Yamasaki,0,0,15,14,5,0,0,0,win,Gray Maynard,Lightweight,U-DEC,3,5:00
Nate Diaz,Marcus Davis,"August 28, 2010","Boston, Massachusetts, USA",Yves Lavigne,0,1,94,52,1,1,1,0,win,Nate Diaz,Welterweight,SUB Guillotine Choke,3,4:02
Joe Lauzon,Gabe Ruediger,"August 28, 2010","Boston, Massachusetts, USA",Herb Dean,0,0,19,1,2,0,1,0,win,Joe Lauzon,Lightweight,SUB Armbar,1,2:01
Nik Lentz,Andre Winner,"August 28, 2010","Boston, Massachusetts, USA",Josh Rosenthal,0,0,23,20,7,0,1,0,win,Nik Lentz,Lightweight,U-DEC,3,5:00
Dan Miller,John Salter,"August 28, 2010","Boston, Massachusetts, USA",Mario Yamasaki,0,0,23,21,0,2,2,0,win,Dan Miller,Middleweight,SUB Guillotine Choke,2,1:53
Greg Soto,Nick Osipczak,"August 28, 2010","Boston, Massachusetts, USA",Yves Lavigne,0,0,70,29,3,0,1,1,win,Greg Soto,Welterweight,U-DEC,3,5:00
Mike Pierce,Amilcar Alves,"August 28, 2010","Boston, Massachusetts, USA",Josh Rosenthal,0,0,31,4,4,0,2,0,win,Mike Pierce,Welterweight,SUB Armbar,3,3:11
Anderson Silva,Chael Sonnen,"August 07, 2010","Oakland, California, USA",Josh Rosenthal,0,0,29,89,1,3,3,1,win,Anderson Silva,Middleweight,SUB Triangle Armbar,5,3:10
Jon Fitch,Thiago Alves,"August 07, 2010","Oakland, California, USA",Herb Dean,0,0,29,22,9,0,0,0,win,Jon Fitch,Welterweight,U-DEC,3,5:00
Clay Guida,Rafael Dos Anjos,"August 07, 2010","Oakland, California, USA",Herb Dean,0,0,19,17,2,1,0,0,win,Clay Guida,Lightweight,SUB Injury,3,1:51
Matt Hughes,Ricardo Almeida,"August 07, 2010","Oakland, California, USA",Josh Rosenthal,1,0,2,10,0,0,1,0,win,Matt Hughes,Welterweight,SUB Schultz Front Headlock,1,3:15
Junior Dos Santos,Roy Nelson,"August 07, 2010","Oakland, California, USA",Marcos Rosales,1,0,130,40,1,0,0,0,win,Junior Dos Santos,Heavyweight,U-DEC,3,5:00
Rick Story,Dustin Hazelett,"August 07, 2010","Oakland, California, USA",Josh Rosenthal,1,0,75,7,3,0,0,2,win,Rick Story,Welterweight,KO/TKO Punches,2,1:15
Phil Davis,Rodney Wallace,"August 07, 2010","Oakland, California, USA",Herb Dean,0,0,59,2,3,0,0,0,win,Phil Davis,Light Heavyweight,U-DEC,3,5:00
Johny Hendricks,Charlie Brenneman,"August 07, 2010","Oakland, California, USA",Josh Rosenthal,2,0,28,9,0,2,0,0,win,Johny Hendricks,Welterweight,KO/TKO Punches,2,0:40
Tim Boetsch,Todd Brown,"August 07, 2010","Oakland, California, USA",Marcos Rosales,0,0,60,28,3,0,1,0,win,Tim Boetsch,Light Heavyweight,U-DEC,3,5:00
Stefan Struve,Christian Morecraft,"August 07, 2010","Oakland, California, USA",Herb Dean,1,0,11,36,0,1,2,1,win,Stefan Struve,Heavyweight,KO/TKO Punch,2,0:22
Dennis Hallman,Ben Saunders,"August 07, 2010","Oakland, California, USA",Marcos Rosales,0,0,28,30,3,0,0,1,win,Dennis Hallman,Welterweight,U-DEC,3,5:00
Jon Jones,Vladimir Matyushenko,"August 01, 2010","San Diego, California, USA",Herb Dean,0,0,15,0,1,0,0,0,win,Jon Jones,Light Heavyweight,KO/TKO Elbows,1,1:52
Yushin Okami,Mark Munoz,"August 01, 2010","San Diego, California, USA",John McCarthy,1,1,22,16,1,1,0,0,win,Yushin Okami,Middleweight,S-DEC,3,5:00
Jake Ellenberger,John Howard,"August 01, 2010","San Diego, California, USA",Herb Dean,0,0,38,17,5,0,0,1,win,Jake Ellenberger,Welterweight,KO/TKO,3,2:21
Takanori Gomi,Tyson Griffin,"August 01, 2010","San Diego, California, USA",Jason Herzog,1,0,5,3,0,0,0,0,win,Takanori Gomi,Lightweight,KO/TKO Punch,1,1:04
Jacob Volkmann,Paul Kelly,"August 01, 2010","San Diego, California, USA",John McCarthy,0,0,32,24,6,0,2,2,win,Jacob Volkmann,Lightweight,U-DEC,3,5:00
Matthew Riddle,DaMarques Johnson,"August 01, 2010","San Diego, California, USA",Jason Herzog,0,0,42,9,3,0,0,0,win,Matthew Riddle,Welterweight,KO/TKO Punches,2,4:29
Igor Pokrajac,James Irvin,"August 01, 2010","San Diego, California, USA",Herb Dean,0,0,18,11,2,0,1,0,win,Igor Pokrajac,Light Heavyweight,SUB Rear Naked Choke,1,2:29
Brian Stann,Mike Massenzio,"August 01, 2010","San Diego, California, USA",John McCarthy,0,0,43,5,0,5,2,2,win,Brian Stann,Middleweight,SUB Triangle Choke,3,3:10
Charles Oliveira,Darren Elkins,"August 01, 2010","San Diego, California, USA",Herb Dean,0,0,3,0,0,1,2,0,win,Charles Oliveira,Lightweight,SUB Triangle Armbar,1,0:41
Rob Kimmons,Steve Steinbeiss,"August 01, 2010","San Diego, California, USA",Jason Herzog,0,0,38,85,4,0,2,0,win,Rob Kimmons,Middleweight,U-DEC,3,5:00
Brock Lesnar,Shane Carwin,"July 03, 2010","Las Vegas, Nevada, USA",Josh Rosenthal,0,1,8,40,1,0,1,0,win,Brock Lesnar,Heavyweight,SUB Arm Triangle,2,2:19
Chris Leben,Yoshihiro Akiyama,"July 03, 2010","Las Vegas, Nevada, USA",Herb Dean,0,0,46,27,0,5,4,1,win,Chris Leben,Middleweight,SUB Triangle Choke,3,4:40
Chris Lytle,Matt Brown,"July 03, 2010","Las Vegas, Nevada, USA",Steve Mazzagatti,0,1,19,25,0,1,4,1,win,Chris Lytle,Welterweight,SUB Armbar,2,2:02
Stephan Bonnar,Krzysztof Soszynski,"July 03, 2010","Las Vegas, Nevada, USA",Mario Yamasaki,1,0,48,32,2,0,0,0,win,Stephan Bonnar,Light Heavyweight,KO/TKO Punches,2,3:08
George Sotiropoulos,Kurt Pellegrino,"July 03, 2010","Las Vegas, Nevada, USA",Josh Rosenthal,1,1,48,39,1,3,0,0,win,George Sotiropoulos,Lightweight,U-DEC,3,5:00
Brendan Schaub,Chris Tuchscherer,"July 03, 2010","Las Vegas, Nevada, USA",Herb Dean,1,0,10,1,0,0,0,0,win,Brendan Schaub,Heavyweight,KO/TKO Punch,1,1:07
Ricardo Romero,Seth Petruzelli,"July 03, 2010","Las Vegas, Nevada, USA",Steve Mazzagatti,0,1,19,30,1,0,2,2,win,Ricardo Romero,Light Heavyweight,SUB Armbar,2,3:05
Kendall Grove,Goran Reljic,"July 03, 2010","Las Vegas, Nevada, USA",Mario Yamasaki,0,0,28,14,1,3,1,1,win,Kendall Grove,Middleweight,S-DEC,3,5:00
Gerald Harris,David Branch,"July 03, 2010","Las Vegas, Nevada, USA",Herb Dean,0,0,10,20,5,0,0,0,win,Gerald Harris,Middleweight,KO/TKO Slam,3,2:35
Daniel Roberts,Forrest Petz,"July 03, 2010","Las Vegas, Nevada, USA",Steve Mazzagatti,0,0,5,21,6,1,2,0,win,Daniel Roberts,Welterweight,S-DEC,3,5:00
Jon Madsen,Karlos Vemola,"July 03, 2010","Las Vegas, Nevada, USA",Mario Yamasaki,0,0,37,16,3,0,0,1,win,Jon Madsen,Heavyweight,U-DEC,3,5:00
Court McGee,Kris McCray,"June 19, 2010","Las Vegas, Nevada, USA",Steve Mazzagatti,0,0,22,19,5,0,1,0,win,Court McGee,Middleweight,SUB Rear Naked Choke,2,3:41
Matt Hamill,Keith Jardine,"June 19, 2010","Las Vegas, Nevada, USA",Herb Dean,0,0,77,65,2,0,0,0,win,Matt Hamill,Light Heavyweight,M-DEC,3,5:00
Chris Leben,Aaron Simpson,"June 19, 2010","Las Vegas, Nevada, USA",Josh Rosenthal,0,0,42,43,0,2,0,1,win,Chris Leben,Middleweight,KO/TKO Punches,2,4:17
Dennis Siver,Spencer Fisher,"June 19, 2010","Las Vegas, Nevada, USA",Kim Winslow,0,0,77,52,0,0,0,0,win,Dennis Siver,Lightweight,U-DEC,3,5:00
Rich Attonito,Jamie Yager,"June 19, 2010","Las Vegas, Nevada, USA",Steve Mazzagatti,0,0,24,29,1,0,0,0,win,Rich Attonito,Middleweight,KO/TKO Punches,2,4:25
John Gunderson,Mark Holst,"June 19, 2010","Las Vegas, Nevada, USA",Josh Rosenthal,0,0,31,2,4,1,0,3,win,John Gunderson,Lightweight,U-DEC,3,5:00
Brad Tavares,Seth Baczynski,"June 19, 2010","Las Vegas, Nevada, USA",Herb Dean,0,0,18,22,3,0,0,3,win,Brad Tavares,Middleweight,U-DEC,3,5:00
Kyle Noke,Josh Bryant,"June 19, 2010","Las Vegas, Nevada, USA",Kim Winslow,1,0,50,9,0,0,0,0,win,Kyle Noke,Middleweight,KO/TKO Punches,2,3:12
Chris Camozzi,James Hammortree,"June 19, 2010","Las Vegas, Nevada, USA",Josh Rosenthal,0,0,62,29,0,2,0,1,win,Chris Camozzi,Middleweight,U-DEC,3,5:00
Travis Browne,James McSweeney,"June 19, 2010","Las Vegas, Nevada, USA",Kim Winslow,1,0,19,6,0,0,1,0,win,Travis Browne,Heavyweight,KO/TKO Punches,1,4:32
Rich Franklin,Chuck Liddell,"June 12, 2010","Vancouver, British Columbia, Canada",Herb Dean,1,0,24,17,0,1,0,0,win,Rich Franklin,Light Heavyweight,KO/TKO Punch,1,4:55
Mirko Filipovic,Pat Barry,"June 12, 2010","Vancouver, British Columbia, Canada",Yves Lavigne,1,2,42,25,0,0,2,0,win,Mirko Filipovic,Heavyweight,SUB Rear Naked Choke,3,4:30
Martin Kampmann,Paulo Thiago,"June 12, 2010","Vancouver, British Columbia, Canada",Herb Dean,0,0,24,13,1,1,3,1,win,Martin Kampmann,Welterweight,U-DEC,3,5:00
Ben Rothwell,Gilbert Yvel,"June 12, 2010","Vancouver, British Columbia, Canada",Yves Lavigne,0,0,44,33,5,0,2,2,win,Ben Rothwell,Heavyweight,U-DEC,3,5:00
Carlos Condit,Rory MacDonald,"June 12, 2010","Vancouver, British Columbia, Canada",Kevin Dornan,0,0,72,29,0,3,1,0,win,Carlos Condit,Welterweight,KO/TKO Punches,3,4:53
Evan Dunham,Tyson Griffin,"June 12, 2010","Vancouver, British Columbia, Canada",Herb Dean,0,0,28,26,3,0,1,1,win,Evan Dunham,Lightweight,S-DEC,3,5:00
Matt Wiman,Mac Danzig,"June 12, 2010","Vancouver, British Columbia, Canada",Yves Lavigne,0,0,4,4,0,1,2,0,win,Matt Wiman,Lightweight,SUB Guillotine Choke,1,1:45
Mario Miranda,David Loiseau,"June 12, 2010","Vancouver, British Columbia, Canada",Tony Williamson,0,0,42,2,3,0,0,0,win,Mario Miranda,Middleweight,KO/TKO Elbows,2,4:07
James Wilks,Peter Sobotta,"June 12, 2010","Vancouver, British Columbia, Canada",Kevin Dornan,0,0,38,15,1,1,1,2,win,James Wilks,Welterweight,U-DEC,3,5:00
Claude Patrick,Ricardo Funch,"June 12, 2010","Vancouver, British Columbia, Canada",Tony Williamson,0,0,13,5,1,0,2,0,win,Claude Patrick,Welterweight,SUB Guillotine Choke,2,1:48
Mike Pyle,Jesse Lennox,"June 12, 2010","Vancouver, British Columbia, Canada",Kevin Dornan,1,0,49,37,0,1,3,0,win,Mike Pyle,Welterweight,SUB Triangle Choke,3,4:44
Rashad Evans,Quinton Jackson,"May 29, 2010","Las Vegas, Nevada, USA",Herb Dean,0,1,29,17,3,0,0,0,win,Rashad Evans,Light Heavyweight,U-DEC,3,5:00
Michael Bisping,Dan Miller,"May 29, 2010","Las Vegas, Nevada, USA",Steve Mazzagatti,0,0,76,50,0,1,0,0,win,Michael Bisping,Middleweight,U-DEC,3,5:00
Mike Russow,Todd Duffee,"May 29, 2010","Las Vegas, Nevada, USA",Josh Rosenthal,1,0,14,51,0,0,0,0,win,Mike Russow,Heavyweight,KO/TKO Punch,3,2:35
Rogerio Nogueira,Jason Brilz,"May 29, 2010","Las Vegas, Nevada, USA",Yves Lavigne,0,0,23,18,1,3,1,3,win,Rogerio Nogueira,Light Heavyweight,S-DEC,3,5:00
John Hathaway,Diego Sanchez,"May 29, 2010","Las Vegas, Nevada, USA",Herb Dean,1,0,84,24,0,1,0,0,win,John Hathaway,Welterweight,U-DEC,3,5:00
Dong Hyun Kim,Amir Sadollah,"May 29, 2010","Las Vegas, Nevada, USA",Steve Mazzagatti,0,0,30,10,6,0,0,0,win,Dong Hyun Kim,Welterweight,U-DEC,3,5:00
Efrain Escudero,Dan Lauzon,"May 29, 2010","Las Vegas, Nevada, USA",Josh Rosenthal,1,0,64,17,0,0,0,0,win,Efrain Escudero,Lightweight,U-DEC,3,5:00
Melvin Guillard,Waylon Lowe,"May 29, 2010","Las Vegas, Nevada, USA",Yves Lavigne,1,0,14,1,0,1,0,0,win,Melvin Guillard,Lightweight,KO/TKO Knee,1,3:28
Cyrille Diabate,Luiz Cane,"May 29, 2010","Las Vegas, Nevada, USA",Herb Dean,1,1,17,4,0,0,0,0,win,Cyrille Diabate,Light Heavyweight,KO/TKO Punches,1,2:13
Aaron Riley,Joe Brammer,"May 29, 2010","Las Vegas, Nevada, USA",Steve Mazzagatti,0,0,46,37,3,1,0,0,win,Aaron Riley,Lightweight,U-DEC,3,5:00
Ryan Jensen,Jesse Forbes,"May 29, 2010","Las Vegas, Nevada, USA",Josh Rosenthal,0,1,3,3,0,1,1,1,win,Ryan Jensen,Middleweight,SUB Guillotine Choke,1,1:06
Mauricio Rua,Lyoto Machida,"May 08, 2010","Montreal, Quebec, Canada",Yves Lavigne,1,0,17,9,0,2,0,0,win,Mauricio Rua,Light Heavyweight,KO/TKO Punches,1,3:35
Josh Koscheck,Paul Daley,"May 08, 2010","Montreal, Quebec, Canada",Dan Miragliotta,0,0,19,11,4,0,1,0,win,Josh Koscheck,Welterweight,U-DEC,3,5:00
Jeremy Stephens,Sam Stout,"May 08, 2010","Montreal, Quebec, Canada",Mario Yamasaki,1,1,55,70,3,0,0,1,win,Jeremy Stephens,Lightweight,S-DEC,3,5:00
Matt Mitrione,Kevin Ferguson,"May 08, 2010","Montreal, Quebec, Canada",Dan Miragliotta,0,0,44,5,0,2,4,0,win,Matt Mitrione,Heavyweight,KO/TKO Punches,2,4:24
Alan Belcher,Patrick Cote,"May 08, 2010","Montreal, Quebec, Canada",Mario Yamasaki,0,0,27,22,1,2,1,1,win,Alan Belcher,Middleweight,SUB Rear Naked Choke,2,3:25
Joe Doerksen,Tom Lawlor,"May 08, 2010","Montreal, Quebec, Canada",Yves Lavigne,0,1,44,42,0,0,1,0,win,Joe Doerksen,Middleweight,SUB Rear Naked Choke,2,2:10
Marcus Davis,Jonathan Goulet,"May 08, 2010","Montreal, Quebec, Canada",Philippe Chartier,2,0,11,5,0,4,1,0,win,Marcus Davis,Welterweight,KO/TKO Punches,2,1:23
Johny Hendricks,TJ Grant,"May 08, 2010","Montreal, Quebec, Canada",Marc-Andre Cote,0,0,53,67,8,0,0,0,win,Johny Hendricks,Welterweight,M-DEC,3,5:00
Joey Beltran,Tim Hague,"May 08, 2010","Montreal, Quebec, Canada",Mario Yamasaki,0,0,97,60,0,2,0,0,win,Joey Beltran,Heavyweight,U-DEC,3,5:00
Mike Guymon,Yoshiyuki Yoshida,"May 08, 2010","Montreal, Quebec, Canada",Philippe Chartier,0,0,59,7,3,1,2,2,win,Mike Guymon,Welterweight,U-DEC,3,5:00
John Salter,Jason MacDonald,"May 08, 2010","Montreal, Quebec, Canada",Dan Miragliotta,0,0,3,5,1,0,0,0,win,John Salter,Middleweight,KO/TKO,1,2:42
Anderson Silva,Demian Maia,"April 10, 2010","Abu Dhabi, United Arab Emirates",Dan Miragliotta,1,0,61,10,0,0,0,0,win,Anderson Silva,Middleweight,U-DEC,5,5:00
Frankie Edgar,BJ Penn,"April 10, 2010","Abu Dhabi, United Arab Emirates",Herb Dean,0,0,61,71,1,0,0,0,win,Frankie Edgar,Lightweight,U-DEC,5,5:00
Matt Hughes,Renzo Gracie,"April 10, 2010","Abu Dhabi, United Arab Emirates",Herb Dean,2,0,70,34,0,0,0,0,win,Matt Hughes,Welterweight,KO/TKO Punches,3,4:40
Rafael Dos Anjos,Terry Etim,"April 10, 2010","Abu Dhabi, United Arab Emirates",Marc Goddard,0,0,25,7,2,0,1,1,win,Rafael Dos Anjos,Lightweight,SUB Armbar,2,4:30
Mark Munoz,Kendall Grove,"April 10, 2010","Abu Dhabi, United Arab Emirates",Marc Goddard,0,1,25,9,1,0,0,3,win,Mark Munoz,Middleweight,KO/TKO Punches,2,2:50
Phil Davis,Alexander Gustafsson,"April 10, 2010","Abu Dhabi, United Arab Emirates",Dan Miragliotta,0,0,14,0,1,0,1,0,win,Phil Davis,Light Heavyweight,SUB Anaconda Choke,1,4:55
Rick Story,Nick Osipczak,"April 10, 2010","Abu Dhabi, United Arab Emirates",Marc Goddard,0,0,31,28,3,2,1,1,win,Rick Story,Welterweight,S-DEC,3,5:00
DaMarques Johnson,Brad Blackburn,"April 10, 2010","Abu Dhabi, United Arab Emirates",Dan Miragliotta,1,0,34,59,0,4,1,2,win,DaMarques Johnson,Welterweight,KO/TKO Kick,3,2:08
Paul Kelly,Matt Veach,"April 10, 2010","Abu Dhabi, United Arab Emirates",Herb Dean,0,0,47,4,0,1,3,2,win,Paul Kelly,Lightweight,SUB Guillotine Choke,2,3:41
Jon Madsen,Mostapha Al-Turk,"April 10, 2010","Abu Dhabi, United Arab Emirates",Marc Goddard,0,0,32,20,1,0,0,0,win,Jon Madsen,Heavyweight,U-DEC,3,5:00
Kenny Florian,Takanori Gomi,"March 31, 2010","Charlotte, North Carolina, USA",Mario Yamasaki,0,0,51,20,1,0,1,0,win,Kenny Florian,Lightweight,SUB Rear Naked Choke,3,2:52
Roy Nelson,Stefan Struve,"March 31, 2010","Charlotte, North Carolina, USA",Dan Miragliotta,1,0,9,2,0,0,0,0,win,Roy Nelson,Heavyweight,KO/TKO Punch,1,0:39
Jorge Rivera,Nate Quarry,"March 31, 2010","Charlotte, North Carolina, USA",Mario Yamasaki,3,0,29,19,0,0,0,0,win,Jorge Rivera,Middleweight,KO/TKO Punches,2,0:29
Ross Pearson,Dennis Siver,"March 31, 2010","Charlotte, North Carolina, USA",Dan Miragliotta,0,0,54,39,1,2,0,0,win,Ross Pearson,Lightweight,U-DEC,3,5:00
Andre Winner,Rafaello Oliveira,"March 31, 2010","Charlotte, North Carolina, USA",Dale Frye,0,0,61,52,0,0,0,0,win,Andre Winner,Lightweight,U-DEC,3,5:00
Jacob Volkmann,Ronys Torres,"March 31, 2010","Charlotte, North Carolina, USA",Bill Clancy,0,0,24,20,5,3,0,0,win,Jacob Volkmann,Lightweight,S-DEC,3,5:00
Nik Lentz,Rob Emerson,"March 31, 2010","Charlotte, North Carolina, USA",Dale Frye,0,1,46,24,4,0,1,1,win,Nik Lentz,Lightweight,U-DEC,3,5:00
Gleison Tibau,Caol Uno,"March 31, 2010","Charlotte, North Carolina, USA",Bill Clancy,1,0,22,6,1,0,0,0,win,Gleison Tibau,Lightweight,KO/TKO Punches,1,4:13
Yushin Okami,Lucio Linhares,"March 31, 2010","Charlotte, North Carolina, USA",Dale Frye,1,0,50,8,0,0,0,0,win,Yushin Okami,Middleweight,KO/TKO,2,2:47
Gerald Harris,Mario Miranda,"March 31, 2010","Charlotte, North Carolina, USA",Bill Clancy,2,1,17,16,0,0,0,0,win,Gerald Harris,Middleweight,KO/TKO Punches,1,4:49
Charlie Brenneman,Jason High,"March 31, 2010","Charlotte, North Carolina, USA",Dale Frye,0,0,33,12,6,0,0,3,win,Charlie Brenneman,Welterweight,U-DEC,3,5:00
Georges St-Pierre,Dan Hardy,"March 27, 2010","Newark, New Jersey, USA",Kevin Mulhall,0,0,59,4,11,0,6,0,win,Georges St-Pierre,Welterweight,U-DEC,5,5:00
Shane Carwin,Frank Mir,"March 27, 2010","Newark, New Jersey, USA",Dan Miragliotta,1,0,49,3,0,0,0,0,win,Shane Carwin,Heavyweight,KO/TKO Punches,1,3:48
Kurt Pellegrino,Fabricio Camoes,"March 27, 2010","Newark, New Jersey, USA",Yves Lavigne,0,0,16,8,1,1,2,2,win,Kurt Pellegrino,Lightweight,SUB Rear Naked Choke,2,4:20
Jon Fitch,Ben Saunders,"March 27, 2010","Newark, New Jersey, USA",Dan Miragliotta,0,0,72,17,2,0,0,0,win,Jon Fitch,Welterweight,U-DEC,3,5:00
Jim Miller,Mark Bocek,"March 27, 2010","Newark, New Jersey, USA",Yves Lavigne,0,0,23,17,1,4,3,1,win,Jim Miller,Lightweight,U-DEC,3,5:00
Nate Diaz,Rory Markham,"March 27, 2010","Newark, New Jersey, USA",Keith Peterson,1,0,34,3,0,0,0,0,win,Nate Diaz,Welterweight,KO/TKO Punches,1,2:47
Ricardo Almeida,Matt Brown,"March 27, 2010","Newark, New Jersey, USA",Dan Miragliotta,0,0,15,6,5,0,1,0,win,Ricardo Almeida,Welterweight,SUB Rear Naked Choke,2,3:30
Rousimar Palhares,Tomasz Drwal,"March 27, 2010","Newark, New Jersey, USA",Kevin Mulhall,0,0,0,0,0,0,1,0,win,Rousimar Palhares,Middleweight,SUB Heel Hook,1,0:45
Jared Hamman,Rodney Wallace,"March 27, 2010","Newark, New Jersey, USA",Kevin Mulhall,1,0,60,34,2,11,0,1,win,Jared Hamman,Light Heavyweight,U-DEC,3,5:00
Matthew Riddle,Greg Soto,"March 27, 2010","Newark, New Jersey, USA",Keith Peterson,0,0,47,21,4,0,0,0,win,Matthew Riddle,Welterweight,DQ,3,1:30
Jon Jones,Brandon Vera,"March 21, 2010","Broomfield, Colorado, USA",Herb Dean,0,0,11,5,2,0,0,0,win,Jon Jones,Light Heavyweight,KO/TKO Elbow,1,3:19
Junior Dos Santos,Gabriel Gonzaga,"March 21, 2010","Broomfield, Colorado, USA",Josh Rosenthal,1,0,20,9,0,1,0,0,win,Junior Dos Santos,Heavyweight,KO/TKO Punches,1,3:53
Cheick Kongo,Paul Buentello,"March 21, 2010","Broomfield, Colorado, USA",Herb Dean,0,0,53,3,9,0,0,0,win,Cheick Kongo,Heavyweight,KO/TKO Elbows,3,1:16
Alessio Sakara,James Irvin,"March 21, 2010","Broomfield, Colorado, USA",Josh Rosenthal,1,0,13,6,0,0,0,0,win,Alessio Sakara,Middleweight,KO/TKO,1,3:01
Clay Guida,Shannon Gugerty,"March 21, 2010","Broomfield, Colorado, USA",Herb Dean,0,0,14,1,2,0,1,3,win,Clay Guida,Lightweight,SUB Arm Triangle,2,3:40
Vladimir Matyushenko,Eliot Marshall,"March 21, 2010","Broomfield, Colorado, USA",Adam Martinez,0,0,28,19,2,0,0,0,win,Vladimir Matyushenko,Light Heavyweight,S-DEC,3,5:00
Darren Elkins,Duane Ludwig,"March 21, 2010","Broomfield, Colorado, USA",Tim Mills,0,0,0,1,1,0,0,0,win,Darren Elkins,Lightweight,KO/TKO,1,0:44
John Howard,Daniel Roberts,"March 21, 2010","Broomfield, Colorado, USA",Tom Johnson,0,0,6,7,1,1,0,1,win,John Howard,Welterweight,KO/TKO Punch,1,2:01
Brendan Schaub,Chase Gormley,"March 21, 2010","Broomfield, Colorado, USA",Adam Martinez,1,0,25,2,0,0,0,0,win,Brendan Schaub,Heavyweight,KO/TKO Punches,1,0:47
Mike Pierce,Julio Paulino,"March 21, 2010","Broomfield, Colorado, USA",Tim Mills,0,0,39,17,6,0,0,0,win,Mike Pierce,Welterweight,U-DEC,3,5:00
Jason Brilz,Eric Schafer,"March 21, 2010","Broomfield, Colorado, USA",Tom Johnson,0,0,70,27,3,2,1,1,win,Jason Brilz,Light Heavyweight,U-DEC,3,5:00
Cain Velasquez,Antonio Rodrigo Nogueira,"February 20, 2010","Sydney, New South Wales, Australia",Herb Dean,1,0,23,3,0,0,0,0,win,Cain Velasquez,Heavyweight,KO/TKO Punch,1,2:20
Wanderlei Silva,Michael Bisping,"February 20, 2010","Sydney, New South Wales, Australia",Josh Rosenthal,1,0,42,32,1,5,1,0,win,Wanderlei Silva,Middleweight,U-DEC,3,5:00
George Sotiropoulos,Joe Stevenson,"February 20, 2010","Sydney, New South Wales, Australia",Herb Dean,0,0,20,7,2,3,3,2,win,George Sotiropoulos,Lightweight,U-DEC,3,5:00
Ryan Bader,Keith Jardine,"February 20, 2010","Sydney, New South Wales, Australia",Josh Rosenthal,1,0,29,15,3,0,0,0,win,Ryan Bader,Light Heavyweight,KO/TKO Punch,3,2:10
Mirko Filipovic,Anthony Perosh,"February 20, 2010","Sydney, New South Wales, Australia",Herb Dean,0,0,29,9,0,0,1,0,win,Mirko Filipovic,Heavyweight,KO/TKO,2,5:00
Krzysztof Soszynski,Stephan Bonnar,"February 20, 2010","Sydney, New South Wales, Australia",John Sharp,0,0,48,36,0,2,0,0,win,Krzysztof Soszynski,Light Heavyweight,KO/TKO,3,1:04
